Gender,Membership,Brand,Frequency,Age
Female,Yes,Fitness First,Several times a week,28
Male,Yes,Fitness First,Several times a month,54
Female,Yes,Fitness First,Several times a week,40
Female,Yes,Fitness First,Several times a month,53
Female,Yes,Fitness First,Several times a week,28
Female,Yes,Fitness First,Several times a week,20
Female,Yes,Fitness First,Several times a week,44
Male,Yes,Fitness First,Several times a week,37
Male,Yes,Fitness First,Several times a week,17
Male,Yes,Fitness First,Several times a week,26
Female,Yes,Fitness First,Once/twice a month,29
Male,Yes,Fitness First,Several times a week,42
Female,Yes,Fitness First,Several times a week,43
Male,Yes,Fitness First,Several times a week,31
Male,Yes,Fitness First,Several times a week,32
Male,Yes,Fitness First,Several times a week,27
Male,Yes,Fitness First,Several times a week,35
Male,Yes,Fitness First,Several times a week,32
Female,Yes,Fitness First,Several times a week,28
Female,Yes,Fitness First,Several times a month,28
Female,Yes,Fitness First,Several times a week,29
Female,Yes,Fitness First,Once/twice a month,46
Female,Yes,Fitness First,Several times a week,49
Female,Yes,Fitness First,Several times a month,33
Male,Yes,Fitness First,Several times a week,31
Male,Yes,Fitness First,Several times a week,36
Male,Yes,Fitness First,Several times a week,32
Male,Yes,Fitness First,Several times a month,20
Female,Yes,Fitness First,Several times a week,32
Male,Yes,Fitness First,Several times a week,42
Male,Yes,Fitness First,Several times a week,50
Male,Yes,Fitness First,Several times a week,50
Female,Yes,Fitness First,Several times a month,19
Female,Yes,Fitness First,Several times a week,31
Female,Yes,Fitness First,Several times a month,28
Female,Yes,Fitness First,Once/twice a month,39
Female,Yes,Fitness First,Rarely,26
Male,Yes,Fitness First,Once/twice a month,30
Female,Yes,Fitness First,Several times a month,49
Female,Yes,Fitness First,Several times a week,35
Male,Yes,Fitness First,Several times a week,41
Female,Yes,Fitness First,Several times a week,52
Male,Yes,Fitness First,Several times a week,36
Male,Yes,Fitness First,Once/twice a month,17
Female,Yes,Fitness First,Several times a month,27
Female,Yes,Fitness First,Several times a week,27
Male,Yes,Fitness First,Several times a week,30
Female,Yes,Fitness First,Several times a week,36
Female,Yes,Fitness First,Once/twice a month,41
Female,Yes,Fitness First,Several times a week,32
Female,Yes,Fitness First,Several times a week,28
Female,Yes,Fitness First,Several times a month,28
Female,Yes,Fitness First,Several times a week,29
Female,Yes,Fitness First,Several times a week,17
