Region ,Sub Zone,Gym
,,
Central,Balestier,Anytime Fitness
Central,Bishan,ActiveSG Gym
Central,Bishan,Contours Express
Central,Bishan,Gymm Boxx
Central,Bras Basah,Gold's Gym
Central,Bukit Timah,Alpha Fit
Central,Bukit Timah,Gold's Gym
Central,Bukit Timah,Slender Shapes
Central,Chinatown,True Fitness
Central,Chinatown,Row Revolution
Central,Clarke Quay,Fitness Factory
Central,Clarke Quay,Gold's Gym
Central,Clarke Quay,Ritual
Central,Clarke Quay,Team Iron Behemoths
Central,Clarke Quay,Energia Fitness Club
Central,Dhoby Ghaut,Amore Fitness
Central,Dhoby Ghaut,Fitness First
Central,Dhoby Ghaut,Gold's Gym
Central,Dhoby Ghaut,Physical Abuse Pte Ltd
Central,Downtown,Pure Fitness
Central,Farrer Park ,FIT 247 Fit to Function Training Studio
Central,Fort Canning,The Moving Body
Central,Habourfront,EnergyOne
Central,Habourfront,True Fitness
Central,Jalan Besar,Iron Fitness Singapore
Central,Marina Bay,Fitness First
Central,Newton,TMP Fitness Sports and Recreation Club
Central,Novena,Gold's Gym
Central,Novena,California Fitness
Central,Orchard,Active Life Centre
Central,Orchard,California Fitness
Central,Orchard,Fitness First
Central,Orchard,Fitness First
Central,Orchard,Lifestyle Fitness
Central,Promenade,True Fitness
Central,Raffles,California Fitness
Central,Raffles,Fitness First
Central,Raffles,Fitness First
Central,Raffles,Fitness First
Central,Raffles,Fitness First
Central,Raffles,Genesis Gym
Central,Raffles,Ocean Financial Centre
Central,Raffles,Vivafit
Central,Raffles,True Fitness
Central,Raffles,Virgin Active
Central,River Valley,Anytime Fitness
Central,River Valley,True Fitness
Central,Somerset,The PIT Singapore
Central,Stadium,Fitness Elitez
Central,Stadium,Singapore Weightlifting Federation
Central,Stadium,Anytime Fitness
Central,Taiseng,CrossFit Hub
Central,Taiseng,CrossFit Unit
Central,Taiseng,Kravist
Central,Tanjong Pagar,Anytime Fitness
Central,Tanjong Pagar,Fitness First 100 AM
Central,Tanjong Pagar,Gold's Gym
Central,Tanjong Pagar,Gold's Gym
Central,Tanjong Pagar,SWEAT!
Central,Tanjong Pagar,Vivafit
Central,Telok Ayer,UFIT
Central,Thomson,Amore Fitness
Central,Tiong Bahru,ActiveSG Gym
Central,Toa Payoh,Anytime Fitness
Central,Toa Payoh,EnergyOne
Central,Toa Payoh,ActiveSG Gym
East,Bedok,Anytime Fitness
East,Bedok,ActiveSG Gym
East,Bedok,Contours Express
East,Bedok,Gymm Boxx
East,Bedok,The Gym Nation
East,Bedok,Ziklag Fitness
East,Bugis,Amore Fitness
East,Bugis,California Fitness
East,Bugis,Gold's Gym
East,Bugis,Vivafit
East,Changi,Fitness First
East,Changi ,Gold's Gym
East,East Coast,Gold's Gym
East,East Coast,The Moving Body
East,Eunos ,Slender Shapes
East,Geylang,GymKraft
East,Geylang,KettlebellHIT
