Region ,Sub Zone,Gym,Price
,,,
Central,Balestier,Anytime Fitness,100.00
Central,Bishan,ActiveSG Gym,30.00
Central,Bishan,Contours Express,89.00
Central,Bishan,Gymm Boxx,85.00
Central,Bras Basah,Gold's Gym,80.00
Central,Bukit Timah,Alpha Fit,200.00
Central,Bukit Timah,Gold's Gym,80.00
Central,Chinatown,True Fitness,99.50
Central,Clarke Quay,Gold's Gym,80.00
Central,Clarke Quay,Ritual,329.00
Central,Clarke Quay,Energia Fitness Club,98.00
Central,Dhoby Ghaut,Amore Fitness,130.00
Central,Dhoby Ghaut,Fitness First,125.00
Central,Dhoby Ghaut,Gold's Gym,80.00
Central,Downtown,Pure Fitness,200.00
Central,Farrer Park ,FIT 247 Fit to Function Training Studio,99.00
Central,Fort Canning,The Moving Body,955.00
Central,Habourfront,EnergyOne,96.30
Central,Habourfront,True Fitness,99.50
Central,Jalan Besar,Iron Fitness Singapore,89.00
Central,Marina Bay,Fitness First,125.00
Central,Newton,TMP Fitness Sports and Recreation Club,85.00
Central,Novena,Gold's Gym,80.00
Central,Orchard,Active Life Centre,120.00
Central,Orchard,Fitness First,125.00
Central,Orchard,Fitness First,125.00
Central,Orchard,Lifestyle Fitness,125.00
Central,Raffles,California Fitness,125.00
Central,Raffles,Fitness First,125.00
Central,Raffles,Fitness First,125.00
Central,Raffles,Fitness First,125.00
Central,Raffles,Fitness First,125.00
Central,Raffles,Genesis Gym,480.00
Central,Raffles,Ocean Financial Centre,159.00
Central,Raffles,True Fitness,99.50
Central,Raffles,Virgin Active,186.00
Central,River Valley,Anytime Fitness,100.00
Central,River Valley,True Fitness,99.50
Central,Somerset,The PIT Singapore,160.00
Central,Stadium,Singapore Weightlifting Federation,80.00
Central,Stadium,Anytime Fitness,100.00
Central,Taiseng,CrossFit Hub,180.00
Central,Taiseng,CrossFit Unit,250.00
Central,Taiseng,Kravist,260.00
Central,Tanjong Pagar,Anytime Fitness,100.00
Central,Tanjong Pagar,Fitness First 100 AM,125.00
Central,Tanjong Pagar,Gold's Gym,80.00
Central,Tanjong Pagar,Gold's Gym,80.00
Central,Tanjong Pagar,SWEAT!,200.00
Central,Telok Ayer,UFIT,200.00
Central,Thomson,Amore Fitness,130.00
Central,Tiong Bahru,ActiveSG Gym,30.00
Central,Toa Payoh,Anytime Fitness,100.00
Central,Toa Payoh,EnergyOne,96.30
Central,Toa Payoh,ActiveSG Gym,30.00
East,Bedok,Anytime Fitness,100.00
East,Bedok,ActiveSG Gym,30.00
East,Bedok,Contours Express,89.00
East,Bedok,Gymm Boxx,85.00
East,Bedok,The Gym Nation,75.00
East,Bedok,Ziklag Fitness,100.00
East,Bugis,Amore Fitness,130.00
East,Bugis,Gold's Gym,80.00
East,Changi,Fitness First,125.00
East,Changi ,Gold's Gym,80.00
East,East Coast,Gold's Gym,80.00
East,East Coast,The Moving Body,955.00
East,Geylang,GymKraft,110.00
East,Geylang,Solitude of Strength,235.00
East,Joo Chiat,Gold's Gym,80.00
