Gym,Price
Anytime Fitness,100.00
ActiveSG Gym,30.00
Contours Express,89.00
Gymm Boxx,85.00
Gold's Gym,80.00
Alpha Fit,200.00
True Fitness,99.50
Ritual,329.00
Energia Fitness Club,98.00
Amore Fitness,130.00
Fitness First,125.00
Pure Fitness,200.00
FIT 247 Fit to Function Training Studio,99.00
EnergyOne,96.30
Iron Fitness Singapore,89.00
TMP Fitness Sports and Recreation Club,85.00
Active Life Centre,120.00
Lifestyle Fitness,125.00
California Fitness,125.00
Genesis Gym,480.00
Ocean Financial Centre,159.00
Virgin Active,186.00
The PIT Singapore,160.00
Singapore Weightlifting Federation,80.00
CrossFit Hub,180.00
CrossFit Unit,250.00
Kravist,260.00
Fitness First 100 AM,125.00
SWEAT!,200.00
UFIT,200.00
Ziklag Fitness,100.00
The Moving Body,955.00
GymKraft,110.00
Solitude of Strength,235.00
Kevin Chiak Personal Training Studio,120.00
CrossFit Fire City,240.00
Dennis Gym,70.00
F45 Tanjong Katong,84.00
CrossFit Mobilus,350.00
Shogun Gym,140.00
The Fitness Edge,42.00
Reebok CrossFit Enduro,300.00
The Gym Nation,75.00
Dover Fitness Club,10.00
